Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Bol to spor o francúzsky trón medzi kráľovskou dynastiou Valoisovcov a dynastiou Anjouovcov z Anglicka, ktorá si nárokovala súčasne na anglický aj francúzsky trón, pretože pochádzala z francúzskych grófstiev Anjou a Normandia.	It was a conflict for the French throne between the royal house of Valois who claimed the title of King of France, and the house of Anjou from England, who claimed to be both Kings of England and of France, since they had their roots in the French regions of Anjou and Normandy.	0.525278
V prvej fáze vojny sa Angličanom darilo viac. Keď sa však do boja zapojila Jana z Arku a princa Karola VII. korunovali v Reims za francúzskeho kráľa, stratili takmer všetko z toho, čo predtým získali.	The English invasion was initially very successful in gaining new territories and much plunder, but after the involvement of St. Joan of Orleans in the battle and the solemn crowning of Charles VII as king of France at Reims, they lost eventually much of what had been gained.	0.186826
Aj keď sa boj odohrával zväčša na kontinente, nekončiace utrpenie uvrhlo obe krajiny do hlbokej hospodárskej krízy a chudoby.	And though the war was fought mostly on the continent, the continuous suffering and the casualties flung both countries into deeper depression and privation.	0.225
CHYBA TEXT Moravcová)	1 Cf. C. Creighton, A History of Epidemics in Britain, vol. 1, New York 1965 2 , 121.	-0.435
Situácia v Anglicku sa zhoršila ešte viac po povstaní roľníkov proti šľachte, mešťanom a duchovenstvu.	The situation in England was further aggravated by the peasants’ rebellion against the lords, secular and ecclesiastical.	0.242697
Roľníci sa valili krajinou a rabovali zámky, kostoly a kláštory.	The peasants rampaged across the country pillaging castles, churches and monasteries.	0.192857
Povstanie však bolo nakoniec kruto potlačené.	When the revolt and plundering were finally stopped, it ended in cruel reprisals.	0.0878049
Jedného z vodcov, Geoffreyho Litstera, nechal norwichský biskup Henry Despenser obesiť neďaleko Julianinej cely.	One of its leaders, Geoffrey Litster was sentenced to death by the bishop of Norwich, Henry Despenser, at the gallows not far from Julian’s cell.	0.434
Veľká schizma trvajúca od roku 1378 do 1415 takisto priniesla jednu z najväčších kríz Cirkvi i stredovekej spoločnosti.	Finally, the Great Schism of 1378-1415 brought one of the greatest spiritual crisis for the Church and medieval society.	0.3
Spor o pravého pápeža medzi uchádzačom z Ríma a Avignonu otriasol jej základmi.	The quarrel for the true pope between the claimants of Rome and Avignon shook the Church in its very foundations.	0.180882
Urban VI., rímsky žiadateľ, zašiel v boji proti svojmu protivníkovi Klementovi až tak ďaleko, že zorganizoval vojenské ťaženie.	Urban VI, the roman claimant to the papacy, went so far in his opposition to his rival, Clement, as to organize a crusade against him.	0.457895
Vedenie zveril do rúk biskupa Despensera. ~~~ Ten sľúbil odpustky všetkým, ktorí túto záležitosť podporili vojensky alebo finančne.	He entrusted the leadership and responsibility to bishop Despenser who promised indulgences to those who would support the cause in a military or financial way.	-0.0302632
Všetko sa však skončilo katastrofou.	Naturally, it ended in disaster.	0.258621
Niektorých vojakov zabili, iných zajali a zvyšných, vrátane biskupa, s potupou poslali domov.	Some of the crusaders were killed, some were captured, and the rest, including the bishop, returned home in disgrace.	0.234146
Zlyhanie pápežstva, korupcia cirkevných hodnostárov, zneužívanie odpustkov či samotná výprava vzbudili všeobecnú nedôveru k Cirkvi nielen medzi veriacimi na kontinente, ale aj v Anglicku a pripravili pôdu pre hlásateľov reformácie.	The failure of the papacy, the corruption of the ecclesial hierarchy, the abuse of indulgences and the crusade itself provoked general distrust in the visible institution of the Church among the faithful on the continent as well as in England, and prepared the ground for the precursors of the Reformation.	0.218719
V štrnástom storočí hlásal Ján Viklef cirkevnú reformu v Anglicku.	The XIV century England saw John Wyclif preaching a reform of the Church.	0.27931
Odsudzoval zneužívanie odpustkov, cirkevných hodnostárov kritizoval za honbu po moci a bohatstve a usiloval sa o návrat cirkvi k prvotnej jednoduchosti ohlasovania evanjelia.	He attacked the misuse of indulgences, criticized the ecclesiastical hierarchy for seeking power and wealth, and desired that the Church return to the primitive simplicity of the Gospel.	0.286275
Snažil sa o preklad Biblie do angličtiny, aby jej rozumeli aj obyčajní ľudia.	Besides, he supported the translations of the Bible into the English vernacular so that common people could understand it.	0.122727
V roku 1396, ani nie desať rokov po Viklefovej smrti, vydal pápež Bonifác IX. bulu proti jeho nasledovateľom, tzv. lolardom.	Scarcely a decade after Wyclif’s death a bull was issued by Boniface IX, 1396, against Wyclif’s followers, called the Lollards.	0.434367
V Anglicku ich kruto prenasledovali, vyvrcholenie nastalo v rokoch 1407 – 1408. Vtedy arcibiskup z Canterbury a kancelár Anglicka Thomas Arundel vydal články, v ktorých ich označil za zradcov a kacírov.	In England they started to be fiercely persecuted and this culminated in the Constitutions (1407-1408) of the Archbishop of Canterbury and Chancellor of England, Thomas Arundel, who labelled them as traitors and heretics.	0.45802
Tie však bohužiaľ zakazovali kazateľom používať anglický preklad Biblie či iných teologických diel, pretože v nich videli spojenie s Viklefovým kacírstvom.	Unfortunately, this Constitution prohibited also the use of the Bible and theological writings in English by lay people, seeing in it an association with the heresy of Wyclif.	0.271324
Viklefovi odporcovia podporovaní bojachtivým biskupom Despenserom sa usadili aj v Norwichi. ~~~ Ten sa zaprisahal, že popraví ohňom či sťatím všetkých, ktorí sa pokúsia kázať v jeho diecéze.	The anti-Wycliffite persecutions took place also in Norwich, supported by the warlike bishop Despenser who swore to put to death by flame or by decapitation any of the dissenters who might presume to preach in his diocese.	-0.0220859
Juliana možno bola tichým svedkom ich popravy na mieste zvanom Lollard Pit.	Julian might have been a silent witness of their execution at a place known as the Lollard Pit.	0.696923
Mesto Norwich vybudované na rieke Wensum v grófstve Norfolk blízko pobrežia Východného Anglicka bolo za Julianiných čias významným prístavným mestom a druhým najväčším mestom v Anglicku. Malo približne 10 000 obyvateľov.	The city of Norwich, built around the River Wensum and located in the county of Norfolk near the coast of East Anglia, was an important port and England’s second largest city boasting 10, 000-12, 000 inhabitants in Julian’s time.	0.579679
Obchod a náboženský život v meste prekvitali, čo priťahovalo množstvo cirkevných rádov a hnutí vrátane lolardov, ktorí sa tu usadili.	It was a flourishing centre of trade and religious life, attracting a number of religious orders and movements, including Lollards, who set up their houses there.	0.525714
Tento anglický Rím, ako zvykli v stredoveku Norwich nazývať, sa pýšil 57 kostolmi. Tridsaťjeden z nich stojí dodnes.	This Rome of England, as Norwich used to be called in the medieval times, had 57 churches inside the city wall, of which 31 still exist today.	0.564789
Platilo tu heslo: Kostol na každý týždeň, krčma na každý deň.	It confirms a popular saying that the city had: A church for every week and a pub for every day.	0.15
V tých časoch obdaroval Boh Julianu neobyčajnými zjaveniami Jeho lásky k ľuďom.	It is in this historical context that Julian of Norwich receives extraordinary visions on God’s love towards all people.	0.152174
Uprostred všetkých pohrôm zúriacich naokolo musela mať jej Kniha zjavení, či Zjavenia ako ju sama zvykla nazývať, silný kultúrny a revolučný vplyv.	Amidst all the calamities raging around, her book of revelations, or Showings, as she herself often calls them, must have had a counter-cultural and revolutionary impact.	0.385553
S detskou jednoduchosťou a neochvejnou nádejou nám zvestovala, že Boh nás miluje a urobí i nemožné, aby sa všetko obrátilo na dobré.	With childlike simplicity and unwavering hope she comes to tell us that despite all evils God loves us and will make all things well again.	0.289286
Vďaka tomu úspešne vyvrátila presvedčenie tých čias, že všetky katastrofy a vojny pochádzajú od Boha, ktorého nahnevali naše hriechy, a tak posiela na svet svoj trest.	In this way she succeeds in undermining the wide-spread belief of the time, namely, that disasters and wars come from God who, enraged by our sins, sends chastisements upon the world.	0.276923
Julianine vízie stáli v úplnom protiklade s teológiou Božieho hnevu, pripomínajúc nám základnú pravdu biblického zjavenia: Boh je láska (1 Jn 4, 16).	Julian’s visions stand in complete opposition to this theology of God’s anger, reminding us of the basic truth of the biblical Revelation: God is love (1 Jn 4, 16).	0.778906
Niet pochýb, že Juliana patrí k tradičnej mystickej teológii, ktorá začína svätým Dionýzom Areopagitom a končí neznámym autorom knihy Oblak nepoznania.	There is no doubt that Julian can be inserted into the long tradition of mystical theology that goes from St. Dionysius the Areopagite up to the unknown author of The Cloud of Unknowing.	0.247727
Často ju porovnávajú s významnými stredovekými mystikmi, najmä Brigitou Švédskou. ~~~ Tá tiež napísala knihu s názvom Zjavenia.	She is often compared to great medieval mystics, and in particular to St. Bridget of Sweden, the author of her own Revelations.	-0.00420561
Zarážajúcu podobnosť nájdeme aj medzi Julianinou knihou Zjavenia a knihou Vnútorný hrad od sv. Terézie z Avily: obe prirovnávajú ľudskú dušu k pevnosti či hradu, v ktorom prebýva samotný Boh.	There are also striking similarities between Julian’s Showings and the Interior Castle of St. Theresa of Avila: both of them speak of the human soul as a citadel or a castle in the centre of which God himself dwells.	0.367326
Toto je dôvod, prečo môžeme Julianu považovať za jednu z najväčších pilierov západného mysticizmu.	That is the reason why Julian can be regarded as one of the great pillars of western mysticism.	0.273418
Thomas Merton považuje Julianu a Johna Henryho Newmana, blahorečených Benediktom XVI. dňa 19. septembra 2010, za najväčších anglických teológov.	Thomas Merton considers Julian and John Henry Newman, beatified by Benedict XVI on 19 September 2010, the greatest English theologians.	0.724359
Juliana sama o sebe tvrdila, že nemá vzdelanie. Merton v nej však aj napriek tomu vidí pravú teologičku, pretože to, čo videla, nepodávala iba jednoduchým spôsobom, ale obsah svojich vízií rozpracovala aj teologicky.	Though Julian considers herself unlearned, Merton sees in her a true theologian, since she does not simply transmit what she experienced, but elaborates theologically the content of her visions.	0.367665
Vďaka knihe Zjavenie Božej lásky, kde nám odhaľuje Božie zmilovanie a zľutovanie so svetom, pokladáme Julianu za predchodkyňu sv. Faustíny Kowalskej, známej zvestovateľky Božieho milosrdenstva v 20. storočí.	Finally, with her Showings of Love, as far as it unveils God’s motherly operation of mercy and compassion for the world, Julian can be seen as a fourteenth century precursor of St. Faustina Kowalska, the great harbinger of the Divine Mercy in the XX century.	0.347095
Hoci žila Juliana skrytý samotársky život, jej cela v Norwichi sa stala zdrojom duchovnej osvety a útechy v ťažkých časoch nielen pre ňu, ale aj pre nás.	Though Julian lived the hidden life of a recluse, her cell in Norwich has become a source of spiritual enlightenment and comfort for our tormented times as well as for hers.	0.369643
Dnes ju považujeme za jednu z najvýznamnejších osobností západného špiritualizmu. ~~~ Jej diela majú všeobecnú a trvalú hodnotu.	Today she is considered one of the giants of western spirituality whose writings possess universal and permanent value.	-0.0116505
Stala sa skutočnou duchovnou matkou Anglicka, tak ako ju nazval aj benediktínsky otec Severus Cressy, prvý vydavateľ jej knihy Zjavenia.	She is truly the spiritual Mother of England, as the first editor of her Showings, the Benedictine Father Serenus Cressy, called her.	0.429583
CHYBA TEXT otvorene uznáva Julianu spoločne so sv. Katarínou Sienskou a sv. Thomasom Morom za svätcov, ktorí boli svedkami pravdy: Tým, čo milujú Boha, všetko slúži na dobré (Rim 8, 28) a cituje nasledujúcu pasáž z jej knihy Zjavenia: Z milosti Božej som sa naučila, že musím vytrvať vo viere a nie menej pevne veriť, že všetko sa na dobré obráti A uvidíš, že všetko bude dobré (DV 233).	Despite the fact that Julian has not been officially canonised by the Catholic Church – the Anglican Church venerates her as blessed on May 8 –, the new Catechism of the Catholic Church explicitly acknowledges her holiness as it presents her, along with St. Catherine of Siena and St. Thomas More, as those saints who witness to the truth that God works with those who love him and turns everything to their good (Rm 8, 28) and quotes the following passage from her Showings: And in this way I was taught by the grace of God that I ought to keep myself steadfastly in the faith and that I should stand firm and believe firmly that every kind of thing will be well… You will see yourself that every kind of thing will be well (LT 233).	0.167009
Najväčšie uznanie katolíckej cirkvi vzdal matke Juliane Svätý otec Benedikt XVI.	The greatest acknowledgment, though, on the part of the Catholic Church was granted to Mother Julian by the present Holy Father, Benedict XVI.	0.338732
Pápež rozprával o tejto anglickej mystičke na audiencii v stredu 1. decembra 2010 v Aule Pavla VI.	Continuing with his series on great women of the Church, the Pontiff gave a catechesis on the figure of this English mystic in his Wednesday audience on December 1, 2010, held in the Paul VI Hall.	0.0144578
Poukázal predovšetkým na jej poslanie duchovnej matky pre všetkých, ktorí žiadali o radu či na nesmierny optimizmus vyžarujúci z jej odkazu o nežnosti materinskej Božej lásky.	He pointed out, above all, her vocation as a spiritual mother to the many people who sought her counsel, and the immeasurable optimism that irradiates from her message on the tender and motherly love of God.	0.256291
Poznáme dve verzie knihy zjavení sv. Juliany, známe ako Kratšie vydanie a Dlhšie vydanie.	St. Julian made an account of her Revelations in two writings, known as the Short Text and the Long Text.	0.261039
Odteraz budeme Dlhšie vydanie označovať ako DV a kratšie ako KV.	Henceforth, the Long Text will be referred to throughout the book as LT, and the Short Text as ST.	0.158182
Citácie budeme čerpať z modernej verzie Julianiných zjavení, založenej na kritickom texte E. Colledge – J. Walsh, Julian of Norwich.	Throughout the text the quotations will be taken from the modern version of Julian’s Revelations, based on the critical text, by E. Colledge – J. Walsh, Julian of Norwich.	1.36391
Niekoľko ľudí jej ako pustovníčke v Kostole sv. Juliána v Norwichi odkázalo vo svojich testamentoch peniaze na živobytie.	There are some bequests in wills that were probably made to her to support her living as an anchoress at St. Julian’s Church in Norwich.	0.277143
V jednom z nich, z marca 1393, farár Kostola sv. Michala Coslanyho v Norwichi Roger Reed odkázal Juliane pustovníčke dva šilingy.	In one of these, dated March 1393, it is said that the rector of St. Michael’s Church at Coslany in Norwich, Roger Reed, left two shillings to Julian anakorite.	0.51
V závete z roku 1415 zanechal John Plumpton, občan z Norwichu, 40 pencí ankress in ecclesia santi Juliani de Conesford in Norwice (anachoréte v Kostole svätého Juliána z Conesforde v Norwichi) a po 12 pencí pre jej vtedajšiu slúžku a bývalú slúžku Alice.	In the will of 1415 it is said that John Plumpton, a citizen of Norwich, left forty pence to the ankress in ecclesia santi Juliani de Conesford in Norwice and twelve pence each to her serving maid and to her former maid Alice.	1.20914
O rok neskôr, v roku 1416, odkázala grófka zo Suffolku Izabela Uffordová Juliane dvadsať šilingov.	A year later, in 1416, the Countess of Suffolk, Isabel Ufford, left a bequest of twenty shillings to Julian.	0.466324
Posledný závet bol spísaný v roku 1429 a potvrdený v 1432 Robertom Baxterom, občanom a obchodníkom z Norwichu.	Finally, the last bequest was made in 1429 and confirmed in 1432 by Robert Baxter, a citizen and merchant of Norwich, who left three shillings and four pence to the anchorite at St. Julian’s church in Conisford 5 .	0.508791
Ten zanechal 3 šilingy a 4 pence pustovníčke pri Kostole sv. Juliána z Conesforde 5 .	The evidence of these wills clearly demonstrates that Julian must have been a highly esteemed personality in her town.	0.34971
Tieto závety jasne dokazujú, že Julianu si v meste vysoko vážili. ~~~ Francis Blomfied, norfolský starožitník píše, že v 18. storočí už Julianino útočisko neexistovalo.	Francis Blomfield, the Norfolk antiquarian, leaves us a report that in the 18th century Julian’s anchorhold did not exist anymore, but was razed to the ground during the dissolution of monasteries.	-0.025
Počas rušenia kláštorov ho zrovnali so zemou. ~~~ Vo svojej knihe Dejiny Norwichu nám však podáva vzácne informácie o samotnej pustovníčke: Vo východnej časti cintorína (pri kostole) stála pustovňa, v ktorej pustovníčka prebývala až do jej zničenia. I keď dom zničili, jeho základy zostali.	Besides, in his History of Norwich, he gives us some precious information about the anchoress herself: In the east part of this Church-yard stood an Anchorage, in which an Ankress or Recluse dwelt ’til the Dissolution, when the house was demolished, tho’ the Foundations may still be seen.	-0.00246914
Lady Juliana Pustovníčka žila v roku 1393 v úplnej samote. ~~~ Mala len dve slúžky, ktoré ju v starobe opatrovali, a to až do roku 1443.	In 1393, Lady Julian the Ankress here, was a strict Recluse, and had 2 servants to attend her in her old age, A o 1443.	0.19125
V tých časoch ju uznávali za jednu z najväčších svätíc.	This woman in those Days was esteemed one of the Greatest Holynesse.	0.229787
Rok 1443, ktorý uvádza Blomfield, sa nám však môže zdať prekvapujúcim.	The date of 1443, furnished by Blomfield, seems surprising.	0.848077
Naznačuje, že Juliana narodená v roku 1342 žila viac ako 100 rokov.	It would imply that Julian who was born in 1342 lived for more than a hundred years.	0.467611
Julianini učenci zväčša nepovažujú túto informáciu za dôveryhodnú. ~~~ Tvrdia, že si ju pomýlil s inou pustovníčkou, ktorá žila na tom istom mieste po tom, čo Juliana zomrela a tiež prebrala meno po patrónovi kostola, sv. Juliánovi.	Julian scholars usually discard this information as not very trustworthy, and explain that he confused our Julian with another recluse that lived here after Julian had died and who took the same name after the patron saint of the Church, St. Julian.	-0.00994898
Blomfieldove informácie však nemôžeme s istotou označiť za nepravdivé.	Yet, Blomfield’s information is not thoroughly impossible.	0.243396
Neexistuje spoľahlivý dôkaz popierajúci Julianin vysoký vek a v Blomfieldovom texte sa nenašli žiadne iné nejasnosti signalizujúce, že si Julianu považovanú za svätú osobu pomýlil s inou pustovníčkou, ktorá nasledovala jej život.	First of all, we do not have any solid contrary proofs against Julian’s old age and, secondly, Blomfield’s text does not exhibit any confusion of Julian, who was considered a person of great holiness, with another recluse who may have followed her way of life.	0.363773
Existuje aj iné svedectvo o Julianinej historickej osobe podané jej súčasníčkou Margery Kempe z King's Lynn.	There is another important witness to Julian’s historicity, given by her contemporary, Margery Kempe of King’s Lynn.	0.807071
Tiež bola mystičkou, ale s úplne inou povahou.	She was also a mystic, but of a totally different cast of mind.	0.21
Na rozdiel do Juliany, ktorá chcela zostať v skrytosti a zabudnutí, Margery bola egocentrickou ženou vždy pripravenou chváliť samu seba a príliš zaujatou mimoriadnymi prejavmi mystického života.	Unlike Julian, who wanted to remain hidden and forgotten, Margery was a self- centred woman, always ready to extol her own personality, and too much preoccupied with extraordinary manifestations of the mystical life.	0.485883
Vo svojej autobiografii rozpráva o tom, ako v roku 1412 alebo 1413 vyhľadala Julianu v jej cele a žiadala o radu, lebo sa šírili chýry, že je výbornou duchovnou vodkyňou.	She tells us in her autobiography that she sought Julian out for advice in her cell, in about 1412 or 1413, since she was enjoying the fame of a well-known expert in spiritual guidance and discernment.	0.440731
Margery síce vôbec nespomína Julianinu knihu Zjavenia, ale rozhovor z nej nápadne pripomína Julianinu teológiu lásky.	Margery makes no mention of Julian’s book of Showings, yet the conversation that she recorded in her book reflects strikingly Julian’s theology of love.	0.39783
Obchod s vypchatými zvieratami v Texase vystavuje čerstvú žirafiu trofej.	A Texas taxidermy shop displays a fresh giraffe trophy.	0.19375
Kartónové krúžky a špendlíky fixujú žirafiu kožu, až kým vyschne, koža je pripevnená na polystyrénovú formu v tvare žirafej hlavy.	Cardboard strips and pins hold the skin in place while it dries on a giraffe-shaped styrofoam form.	0.366667
Počet žiráf sa za 30 rokov znížil o 40 %, vo voľnej prírode žije už len okolo 110 000 jedincov.	Giraffe numbers have dropped by 40 percent in 30 years, to about 110, 000 in the wild.	0.774648
Veterinárny lekár pre voľne žijúce zvieratá, Pete Morkel, odchytil počas svojej kariéry množstvo veľkých afrických cicavcov, akými sú napr. levy, lesné slony a biele nosorožce. Spomedzi všetkých týchto zvierat patria žirafy medzi najviac vystresovaný druh.	Of all the large African mammals that wildlife veterinarian Pete Morkel has had to capture over his career—lions, forest elephants, white rhinos—giraffes are the most stressful.	0.273856
Pokiaľ ide o iné zvieratá, na ich znehybnenie stačí malé množstvo anestetika, no žirafy musíme absolútne predávkovať a tým ich úplne odrovnať, vysvetľuje mi starší 59-ročný opálený chlapík, kým pozoruje dvojročnú žirafu pri Nigerskom pralese, ktorý sa nachádza 100 kilometrov východne od hlavného mesta Nigérie, Niamey.	With other animals, you’re trying to give just enough anesthetic to immobilize them, but with a giraffe, we use a total overdose to chemically knock them off their feet, the sun-leathered 59-year-old tells me as I stalk him stalking a two- year-old female giraffe somewhere in the Nigerien bush, about 60 miles east of Niamey, Niger’s capital.	0.349648
Na hlave má maskáčový klobúk a roztrhané fialové boxerky s károvaným vzorom, ktoré nosil namiesto šortiek už niekoľko dní.	He is wearing a camo hat and a pair of torn, purple- checkered boxers that he’s been wearing as shorts for the past several days.	0.447143
Morkel práve nabil svoju uspávaciu pištoľ dávkou etorfínu, čo je opiát, približne 6 000 krát silnejší ako morfium.	Morkel has loaded his dart gun with a dose of etorphine, an opioid about 6, 000 times more powerful than morphine.	0.606316
Hneď ako etorfín prenikne pod kožu žirafy, čas hrá proti nim. ~~~ Za tento krátky čas musia zviera dolapiť, chytiť ho a následne mu do krku vstreknúť protilátku, aby nezahynulo.	Once it penetrates the giraffe’s skin, he and his team will have just minutes to chase down the animal, tackle her, and inject her neck with an antidote to keep her from dying.	-0.00310345
Ak žirafu úspešne odchytia a prežije viac ako 800 kilometrový transport cez Nigériu, stane sa jedným zo zakladateľov novej populácie najvzácnejších divokých cicavcov na svete.	If she can be successfully captured and survive a 500-mile translocation across Niger, she’ll become one of eight founding Adams and Eves of a new population of one of the world’s rarest wild mammals.	0.383806
Osirotená žirafa v Sarara Camp v severnej Keni sa túli k svojmu opatrovateľovi.	An orphaned giraffe nuzzles a caregiver at Sarara Camp in northern Kenya.	0.737729
Keď pastieri hovädzieho dobytka z kmeňa Samburu našli opustené teliatko, upozornili naň Sararu, ktorá sa stará o osirelé cicavce a vracia ich naspäť do ich prirodzeného prostredia.	Samburu cattle herders found the abandoned calf and alerted Sarara—known for raising orphaned stmammals and returning them to their habitat.	0.36171
Mladá žirafa teraz žije s divokým stádom.	The young giraffe now lives with a wild herd.	0.283333
Žirafy, ktoré sme týždeň pozorovali, sú potomkami približne 50 zvierat, ktoré sa koncom osemdesiatych rokov dostali do Nigérie, krajiny na západe Afriky. Z ich domova ich vyhnala vojna a sucho v susediacom štáte Mali na západe krajiny.	The giraffes we have chased for a week are the descendants of some 50 animals that made their way to the West African country of Niger in the late 1980s, when drought and war pushed them from their habitat in neighboring Mali.	1.22479
Prešli juhovýchodným smerom cez pásmo stepí a saván zvaných Sahel, pozdĺž rieky Niger. ~~~ Niamey obkľúčili ešte predtým, ako sa usadili v oblasti Koure, na suchej a prašnej plošine.	They walked south-southeast across the Sahel, along the Niger River, and skirted Niamey before settling in the Koure region, on a dry and dusty plateau.	0.15843
Amadou Hama je 76-ročný pastier z národa Fulani. ~~~ V spomienkach sa vracia o 10 rokov späť, keď pri opatrovaní svojho dobytka prvýkrát uvidel žirafu.	A Fulani herder named Amadou Hama, 76, recalled what it was like decades ago when he first encountered one of these giraffes one evening while tending his cattle.	-0.0106299
Keď sme ju prvýkrát uvideli, mysleli sme si, že je to diabol ‒ pre jej dlhánsky krk a rohy.	We thought it was the devil, because of that neck and those horns.	0.196364
Ľudia mi rozprávali o rôznych nebezpečných zvieratách akými sú napr. levy, ale nikto mi nikdy nespomenul žirafy.	People had told me about dangerous animals like lions, but nobody had ever told me about the giraffe.	0.257647
Tieto nevídané obry sú poslednými, ktoré prežili z kedysi obrovskej populácie bielych žiráf. Na prelome minulého storočia bola ich teritóriom celá západná Afrika, od pobrežia Senegalu až po Nigériu.	These newly arrived giants were the last survivors of a once vast population of white giraffes whose range at the turn of the last century spanned all of West Africa, from the coast of Senegal to Nigeria.	0.29645
Zachytené nad obzorom hlavného mesta Nairobi. ~~~ Žirafy sa potulujú národným parkom Nairobi, 6 kilometrov od centra rozľahlého hlavného mesta Keňa.	Framed against the Nairobi skyline, giraffes roam Nairobi National Park, four miles from the center of Kenya’s sprawling capital.	-0.0214286
V parku s rozlohou 45 kilometrov štvorcových žije viac ako 100 druhov cicavcov, avšak rozmach Nairobi toto prostredie ohrozuje.	More than 100 mammal species live in the 45-square-mile park, but Nairobi’s expansion threatens this habitat.	0.429102
V roku 2016 tím vedcov nadobudol o žirafách nové poznatky.	In 2016 a team of scientists came to an epiphany (if still contentious) about giraffes.	3.156
Dovtedy zastávali názor, že všetky žirafy patria do jedného druhu Giraffa camelopardalis.	Until then, the conventional view held that all giraffes belonged to a single species, Giraffa camelopardalis.	0.696981
Na základe genetickej analýzy sa však zdá, že existujú až štyri druhy žiráf, ktoré sa od seba odlišujú, a to viac ako hnedý medveď od polárneho.	But genetic analysis now suggests that giraffes are in fact four distinct species, actually more different from each other than the brown bear is from the polar bear.	0.25
Tieto štyri druhy žiráf sa klasifikujú do ďalších piatich poddruhov, ktoré zahrňujú aj vzácny západoafrický druh Giraffa camelopardalis peralta. ~~~ Týchto bledých, fľakatých utečencov možno nájsť len v Nigérii, v oblasti Koure.	And those four species can be further classified into five subspecies, including the rare West African Giraffa camelopardalis peralta, the pale, spotted refugees now found only in the Koure region of Niger.	0.092126
Nová klasifikácia by znamenala, že všetky druhy - až na dva poddruhy - považujeme za zraniteľné, ohrozené alebo kriticky ohrozené. V celej Afrike sa počet žiráf za posledné tri desaťročia znížil takmer o 40 %, dnes je na svete odhadom len 110 000 žiráf.	Based on this new taxonomy, all but two subspecies would be considered vulnerable, endangered, or critically endangered, and across Africa, populations have declined by almost 40 percent over the past three decades, leaving an estimated 110, 000 giraffes in the world.	0.488693
Asistent riaditeľa nadácie pre zachovanie žiráf, Julian Fennessy, označil túto skutočnosť za tiché vymieranie. ~~~ Kvôli veľkej pozornosti upriamenej na vymieranie slonov a veľkých opíc si väčšina ľudí myslí, že žirafám sa vo voľnej prírode darí celkom dobre. Možno je to práve pre nadmerný počet žiráf v zoologických záhradách alebo pre vysoký počet vypchatých žiráf.	Julian Fennessy, co-director of the Giraffe Conservation Foundation (GCF), calls this the silent extinction, because unlike the attention lavished on the disappearance of elephants and great apes, most people assume that giraffes are doing just fine in the wild, perhaps because of their abundance in zoos and as stuffed animals.	-0.0176157
ŽIRAFY V OHROZENÍ	GIRAFFES IN DANGER	0.28125
Z milióna žiráf, ktoré žili okolo roku 1700, sa dnes po Afrike potuluje už len 110 000.	Some 110, 000 giraffes roam throughout Africa, down from a million in the 1700s.	0.282353
Nový výskum v oblasti DNA vyvrátil to, čomu vedci dlhé roky verili.	Scientists had long believed that all giraffes belonged to a single species, but new DNA research has identified four distinct species.	0.220243
Boli presvedčení, že existuje len jeden druh, do ktorého patria všetky žirafy na svete.	Top threats to giraffes include habitat fragmentation, deforestation, war, and poaching.	0.284
Výskum však identifikoval až štyri odlišné druhy.		-0.3
Pre žirafy predstavuje najväčšiu hrozbu fragmentácia biotopu, odlesňovanie, vojna a v neposlednom rade pytliactvo.		-0.3
ŽIRAFA SEVERNÁ NÚBIJSKÁ (Giraffa camelopardalis) – najviac ohrozené poddruhy severných žiráf sú Korfodan a Nubian.	The Kordofan and Nubian, subspecies of northern giraffes, are most threatened, living mainly in war-torn countries.	0.3
Je to primárne preto, že žijú v krajinách zničených vojnou.	Northern giraffes lack spots on the lower legs.	0.226829
Severné žirafy sú charakteristické tým, že na dolných končatinách nemajú škvrny.	Reticulated giraffes get their name from their clearly defined patches.	0.261905
ŽIRAFA SIEŤOVANÁ (Giraffa reticulata) – žirafy sieťované dostali svoje meno podľa presne definovaných škvŕn.	There is some evidence that their numbers— although low—are stabilizing in Kenya.	0.194366
Dôkazy potvrdzujú, že ich nízky počet sa v Keni pomerne stabilizuje.	Of the four main species, Masai giraffes have the darkest complexion.	0.294915
ŽIRAFA MASAJSKÁ (Giraffa tippelskirchi) – zo všetkých štyroch druhov má žirafa masajská najtmavšiu kožu.		-0.3
Tento druh žiráf bol pred 30 rokmi najpopulárnejší, no odvtedy sa ich počet zredukoval na polovicu.	Thirty years ago this species was the most populous, but it’s since been reduced by half.	0.26
ŽIRAFA JUHOAFRICKÁ (Giraffa giraffa) – žirafa juhoafrická je zo všetkých druhov najmenej ohrozená.	The southern giraffe is at the least risk.	-0.125
